Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam
19/08/2023,13:39:39,base,0xe4c8aa4f848e6b0c3222848d8f5b81f29b5c131d4cd5eda529f35dceb5a77335,https://basescan.org/tx/0xe4c8aa4f848e6b0c3222848d8f5b81f29b5c131d4cd5eda529f35dceb5a77335,send,0x8bf3f20c0e39805fec60fd0d68ca1d7ad7d92459,,ETH,token,-0.02,-33.2116,no
19/08/2023,13:23:23,base,0x5177c0e0f2d973c3bffb145ecf2aa31d5e40a48849712d0f998374bec8280467,https://basescan.org/tx/0x5177c0e0f2d973c3bffb145ecf2aa31d5e40a48849712d0f998374bec8280467,mint,0x17a0060373119a540c119c17a0da99f565c30c58,,PUNKS FOR FUN,token,1,0,no
,,,,,,,,PUNKS FOR FUN,token,1,0,
,,,,,,,,PUNKS FOR FUN,token,1,0,
,,,,,,,,PUNKS FOR FUN,token,1,0,
19/08/2023,13:55:55,base,0x3dc54c26635efe032463ff7ae2665410246b28e2cbcca856fd193aeb088a4ab4,https://basescan.org/tx/0x3dc54c26635efe032463ff7ae2665410246b28e2cbcca856fd193aeb088a4ab4,mint,0x30719b69debd7ac20deffdf7dcc3911d580d3397,,OSP,token,1,0,no
,,,,,,,,OSP,token,1,0,
,,,,,,,,OSP,token,1,0,
19/08/2023,13:25:25,base,0x0ff16c512bbc20e5dd77df38761cfacdaf1c8a52ca3180bcee89c0a87b333eb2,https://basescan.org/tx/0x0ff16c512bbc20e5dd77df38761cfacdaf1c8a52ca3180bcee89c0a87b333eb2,mint,0xabeb66fe3a8e7c8af3169d80d76efc42491cf995,,Kasuki Akara,token,1,0,no
,,,,,,,,Kasuki Akara,token,1,0,
,,,,,,,,Kasuki Akara,token,1,0,
19/08/2023,13:01:01,base,0x5cacbc8ff8c4b927c3cd01cfa24f065c7dfbca9c94e8c0db1673741f28e4a683,https://basescan.org/tx/0x5cacbc8ff8c4b927c3cd01cfa24f065c7dfbca9c94e8c0db1673741f28e4a683,mint,0x8a791d3e537a5e5aec3b21554ca6ce2ad70a6858,,DBP,token,1,0,no
,,,,,,,,DBP,token,1,0,
,,,,,,,,DBP,token,1,0,
19/08/2023,12:41:41,base,0x5f9be6c35aa968acd3f3322fecc76db6e297bd89b13cd92d7ea88f86c05613d8,https://basescan.org/tx/0x5f9be6c35aa968acd3f3322fecc76db6e297bd89b13cd92d7ea88f86c05613d8,mint,0x06e8091b805d19bb2620f1b5e777dd0dc1508b1c,,BoringPunks,token,1,0,no
,,,,,,,,BoringPunks,token,1,0,
,,,,,,,,BoringPunks,token,1,0,
19/08/2023,12:01:01,zora,0xba9c5024bb798cc8d7b345dc15a45d930182fab51c650cf453a154c65c9db23e,https://explorer.zora.energy/tx/0xba9c5024bb798cc8d7b345dc15a45d930182fab51c650cf453a154c65c9db23e,mint,0x96a420b4c68d12324a66d78780d6d3f1305358f8,,ZORA,token,1,0,no
,,,,,,,,ZORA,token,1,0,
,,,,,,,,ZORA,token,1,0,
19/08/2023,12:43:43,base,0x4f1ccf70f18ef1f12897dcef70d09051ad29704a084d6200de8eaf93a3f29960,https://basescan.org/tx/0x4f1ccf70f18ef1f12897dcef70d09051ad29704a084d6200de8eaf93a3f29960,mint,0x24f843da1782b2e2022011fa1c752fe64700c74e,,Lady Based Ape Yacht Club,token,1,0,no
,,,,,,,,Lady Based Ape Yacht Club,token,1,0,
,,,,,,,,Lady Based Ape Yacht Club,token,1,0,
19/08/2023,12:11:11,eth,0xbfb1be878dc331fcff5dd3ec71fc48186818b10e91d4c4d5626366913cc848d2,https://etherscan.io/tx/0xbfb1be878dc331fcff5dd3ec71fc48186818b10e91d4c4d5626366913cc848d2,Contract Interaction,0xffffffffb9059a7285849bafddf324e2c308c164,,,token,1,3.1559,no
19/08/2023,01:43:43,matic,0xf3af08ab5ef102b64c43e6ac137430b348fdc650cc7698cb66e52ba3488f2dfc,https://polygonscan.com/tx/0xf3af08ab5ef102b64c43e6ac137430b348fdc650cc7698cb66e52ba3488f2dfc,claim,0x200fb6e28edf0fbc9b5fabf7d39ae583981f5038,,,token,1,0.2311848,no
18/08/2023,22:23:23,op,0x22b6babee31c8593b09c29ca0d48c982a318056f5e40087ce00b7bab733ebcc5,https://optimistic.etherscan.io/tx/0x22b6babee31c8593b09c29ca0d48c982a318056f5e40087ce00b7bab733ebcc5,bridgeOutRequest,0xd85b5e176a30edd1915d6728faebd25669b60d8b,,ETH,token,-0.000360164361599015,-0.5984491032329233,no
,,,,,,,,WDWGF,token,-1,0,
,,,,,,,,WDWGF,token,-1.8871962667005448e+68,0,
18/08/2023,22:03:03,op,0x725262e106d81676950b8eacd82c05eb382622a7f8e75bb18b1137632d444ebc,https://optimistic.etherscan.io/tx/0x725262e106d81676950b8eacd82c05eb382622a7f8e75bb18b1137632d444ebc,purchase,0xcb0bb5d835a47584fda53f57bb4193b28d2738db,,WDWGF,token,5.661588800101634e+68,0,no
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
,,,,,,,,WDWGF,token,1,0,
